"cyan.gene_id","cyan.cpg_count","cyan.protein_id","cyan.chr","cyan.method","cyan.feature","cyan.start","cyan.end","cyan.score","cyan.strand","cyan.phase","cyan.CDS_ID","cyan.Parent","cyan.Description","cyan.GO.SLIM","cyan.Enzyme.Codes","cyan.Enzyme.Names","cyan.InterproScan.GO.ID"
"LOC111128837",151,"XP_022330436.1","NC_035783.1","Gnomon","CDS","46717525","46717674",".","+","0","cds25162","rna27391","lysine-specific demethylase 5A-like isoform X1","F:GO:0003677","","","GO:0003677"
"LOC111127935",NA,"XP_022328973.1","NC_035783.1","Gnomon","CDS","46883172","46883346",".","+","0","cds25175","rna27405","sulfotransferase family cytosolic 1B member 1-like","F:GO:0003674","","","GO:0008146"
"LOC111130718",1022,"XP_022333636.1","NC_035783.1","Gnomon","CDS","47520476","47520623",".","-","0","cds25190","rna27424","LOW QUALITY PROTEIN: DNA polymerase subunit gamma-1-like","GO:0003677;GO:0005739;GO:0009058;GO:0016779;GO:0032991","EC:2.7.7.7","DNA-directed DNA polymerase","GO:0003677;GO:0003887;GO:0005760;GO:0006260"
"LOC111129909",NA,"XP_022332152.1","NC_035783.1","Gnomon","CDS","47978454","47979377",".","-","0","cds25220","rna27460","E3 ubiquitin-protein ligase TRIM36-like","","","",""
"LOC111099982",31,"XP_022287276.1","NC_035780.1","Gnomon","CDS","26240604","26240700",".","+","0","cds2399","rna2677","S-phase kinase-associated protein 1","P:GO:0009056","","","GO:0006511"
"LOC111128396",208,"XP_022329691.1","NC_035783.1","Gnomon","CDS","49187531","49187695",".","+","0","cds25310","rna27571","transient receptor potential cation channel subfamily M member 1-like isoform X1","C:GO:0005622; F:GO:0022857; P:GO:0050877; P:GO:0065003","","","GO:0005227;GO:0005622;GO:0006812;GO:0016021;GO:0016048;GO:0034220;GO:0050951;GO:0051262"
"LOC111128383",25,"XP_022329676.1","NC_035783.1","Gnomon","CDS","49538113","49538141",".","-","2","cds25338","rna27602","CREB-regulated transcription coactivator 1-like isoform X1","C:GO:0005634; C:GO:0005737; P:GO:0009058; P:GO:0034641","","","GO:0005634;GO:0005737;GO:0032793"
"LOC111130138",192,"XP_022332577.1","NC_035783.1","Gnomon","CDS","49857917","49858064",".","+","2","cds25352","rna27625","LOW QUALITY PROTEIN: insulin-like peptide receptor","GO:0005575;GO:0006464;GO:0007165;GO:0016301;GO:0043167","EC:2.7.10; EC:2.7.10.1; EC:2.7.11","Transferring phosphorus-containing groups; Receptor protein-tyrosine kinase; Transferring phosphorus-containing groups","GO:0004714;GO:0005515;GO:0005524;GO:0006468;GO:0007169;GO:0016020"
"LOC111127983",NA,"XP_022329037.1","NC_035783.1","Gnomon","CDS","50166098","50166158",".","+","0","cds25367","rna27647","follistatin-like","F:GO:0003674","","","GO:0005515"
"LOC111129777",220,"XP_022331947.1","NC_035780.1","Gnomon","CDS","26417701","26417773",".","-","0","cds2418","rna2696","neurexin-4-like","","","",""
"LOC111129732",24,"XP_022331910.1","NC_035783.1","Gnomon","CDS","50817951","50817955",".","+","0","cds25417","rna27713","LOW QUALITY PROTEIN: zinc finger protein OZF-like","F:GO:0003674","","","GO:0003676"
"LOC111130682",NA,"XP_022333581.1","NC_035783.1","Gnomon","CDS","50832925","50832945",".","-","0","cds25419","rna27715","galectin-4-like isoform X1","F:GO:0003674","","","GO:0030246"
"LOC111131160",19,"XP_022334268.1","NC_035783.1","Gnomon","CDS","51018980","51019118",".","+","0","cds25440","rna27743","DNA polymerase kappa-like isoform X1","GO:0003677;GO:0005622;GO:0006259;GO:0006950;GO:0009058;GO:0016779;GO:0032991","EC:2.7.7.7","DNA-directed DNA polymerase","GO:0003684;GO:0003887;GO:0006260;GO:0006281;GO:0042575"
"LOC111129351",29,"XP_022331387.1","NC_035783.1","Gnomon","CDS","51369395","51369499",".","-","0","cds25470","rna27776","secretory carrier-associated membrane protein 1-like isoform X1","C:GO:0005575; P:GO:0006810","","","GO:0015031;GO:0016021"
"LOC111130024",NA,"XP_022332336.1","NC_035783.1","Gnomon","CDS","51479234","51479260",".","-","0","cds25489","rna27795","collagen alpha-1(XII) chain-like","","","",""
"LOC111130272",9,"XP_022332814.1","NC_035783.1","Gnomon","CDS","52004911","52004926",".","-","0","cds25522","rna27829","ras-related protein Rab-4B-like","GO:0003924;GO:0043167","EC:3.6.1.15","Nucleoside-triphosphate phosphatase","GO:0003924;GO:0005525"
"LOC111129852",43,"XP_022332046.1","NC_035783.1","Gnomon","CDS","52152161","52152327",".","+","0","cds25534","rna27843","transcriptional repressor p66-beta-like","P:GO:0009058; P:GO:0034641","","","GO:0000122"
"LOC111129312",65,"XP_022331308.1","NC_035783.1","Gnomon","CDS","52180212","52180250",".","-","0","cds25537","rna27846","E3 ubiquitin-protein ligase NEDD4-like isoform X1","F:GO:0003674; P:GO:0009056","","","GO:0005515;GO:0006511;GO:0061630"
"LOC111113238",377,"XP_022307046.1","NC_035780.1","Gnomon","CDS","26696445","26696606",".","-","0","cds2463","rna2745","protein scribble homolog isoform X1","F:GO:0003674","","","GO:0005515"
"LOC111131722",NA,"XP_022335087.1","NC_035783.1","Gnomon","CDS","53151324","53152967",".","-","0","cds25626","rna27944","uncharacterized protein LOC111131722","F:GO:0003674; C:GO:0005575; P:GO:0007165","","","GO:0004930;GO:0007186;GO:0016021"
"LOC111130071",9,"XP_022332464.1","NC_035783.1","Gnomon","CDS","54396842","54397053",".","+","2","cds25754","rna28087","Golgi resident protein GCP60-like isoform X1","F:GO:0043167","","","GO:0000062"
"LOC111130652",NA,"XP_022333535.1","NC_035783.1","Gnomon","CDS","54721848","54722798",".","+","0","cds25812","rna28147","dual specificity protein phosphatase 12-like","GO:0006464;GO:0006520;GO:0016791","EC:3.1.3.16; EC:3.1.3.48","Protein-serine/threonine phosphatase; Protein-tyrosine-phosphatase","GO:0004725;GO:0006470;GO:0006570;GO:0008138"
"LOC111129781",NA,"XP_022331949.1","NC_035783.1","Gnomon","CDS","56408631","56408931",".","+","0","cds25954","rna28300","LOW QUALITY PROTEIN: nitrile-specifier protein 5-like","F:GO:0003674","","","GO:0005515"
"LOC111129320",27,"XP_022331321.1","NC_035783.1","Gnomon","CDS","56637852","56637986",".","+","1","cds25982","rna28330","adipocyte plasma membrane-associated protein-like","GO:0006629;GO:0009058;GO:0016829;GO:0034641","EC:4.3.3.2","Strictosidine synthase","GO:0016114;GO:0016844;GO:0042432"
"LOC111128513",NA,"XP_022329849.1","NC_035783.1","Gnomon","CDS","56872949","56873476",".","+","0","cds26005","rna28354","uncharacterized protein LOC111128513","","","",""
"LOC111128182",35,"XP_022329367.1","NC_035783.1","Gnomon","CDS","57210182","57210212",".","-","0","cds26032","rna28385","uncharacterized protein LOC111128182 isoform X1","","","",""
"LOC111129789",47,"XP_022331955.1","NC_035783.1","Gnomon","CDS","57215914","57216049",".","+","0","cds26037","rna28390","uncharacterized protein LOC111129789","","","",""
"LOC111129795",23,"XP_022331960.1","NC_035783.1","Gnomon","CDS","57931863","57931990",".","+","0","cds26124","rna28491","S phase cyclin A-associated protein in the endoplasmic reticulum-like","","","",""
"LOC111128698",9,"XP_022330178.1","NC_035783.1","Gnomon","CDS","58052372","58052413",".","+","0","cds26134","rna28501","leucine-rich repeat-containing protein 49-like isoform X1","F:GO:0003674","","","GO:0005515"
"LOC111128143",NA,"XP_022329316.1","NC_035783.1","Gnomon","CDS","58107032","58107065",".","+","0","cds26150","rna28517","isocitrate dehydrogenase [NAD] subunit alpha%2C mitochondrial-like","GO:0006091;GO:0016491;GO:0043167","EC:1.1.1.41","Isocitrate dehydrogenase (NAD(+))","GO:0000287;GO:0004449;GO:0006099;GO:0051287"
"LOC111128361",15,"XP_022329653.1","NC_035783.1","Gnomon","CDS","58509626","58511014",".","+","0","cds26217","rna28584","uncharacterized protein LOC111128361","GO:0003924;GO:0043167","EC:3.6.1.15","Nucleoside-triphosphate phosphatase","GO:0003924;GO:0005525"
"LOC111115442",NA,"XP_022309891.1","NC_035780.1","Gnomon","CDS","27165990","27166589",".","-","0","cds2526","rna2812","uncharacterized protein LOC111115442","","","",""
"LOC111099157",51,"XP_022286254.1","NC_035784.1","Gnomon","CDS","379147","379233",".","+","0","cds26355","rna28736","rap1 GTPase-activating protein 1-like isoform X1","P:GO:0007165; F:GO:0030234","","","GO:0005096;GO:0005515;GO:0051056"
"LOC111137177",13,"XP_022344208.1","NC_035784.1","Gnomon","CDS","941881","941996",".","+","2","cds26421","rna28813","uncharacterized protein LOC111137177 isoform X1","GO:0008219;GO:0008233","EC:3.4.22","Acting on peptide bonds (peptidases)","GO:0004197;GO:0006508;GO:0042981"
"LOC111136575",17,"XP_022343229.1","NC_035784.1","Gnomon","CDS","1012149","1012718",".","-","0","cds26432","rna28825","coiled-coil domain-containing protein 115-like","P:GO:0065003","","","GO:0070072"
"LOC111133403",35,"XP_022337499.1","NC_035784.1","Gnomon","CDS","1543575","1543704",".","+","1","cds26498","rna28895","rap1 GTPase-activating protein 1-like isoform X1","P:GO:0007165; F:GO:0030234","","","GO:0005096;GO:0005515;GO:0051056"
"LOC111136296",119,"XP_022342755.1","NC_035784.1","Gnomon","CDS","2005566","2005696",".","+","0","cds26569","rna28967","major vault protein-like","","","",""
"LOC111135724",41,"XP_022341736.1","NC_035784.1","Gnomon","CDS","2438753","2438876",".","+","0","cds26636","rna29040","arrestin domain-containing protein 3-like","","","",""
"LOC111137641",24,"XP_022344904.1","NC_035784.1","Gnomon","CDS","2776659","2776719",".","+","0","cds26667","rna29072","LOW QUALITY PROTEIN: suppressor of cytokine signaling 4-like","P:GO:0006464; P:GO:0007165; P:GO:0040007","","","GO:0016567;GO:0035556;GO:0040008"
"LOC111138258",9,"XP_022345843.1","NC_035780.1","Gnomon","CDS","27618959","27619088",".","+","0","cds2576","rna2862","protein Hikeshi-like","","","",""
"LOC111133521",NA,"XP_022337693.1","NC_035784.1","Gnomon","CDS","3101339","3101474",".","-","0","cds26701","rna29112","protein unc-93 homolog A-like","","","",""
"LOC111133522",NA,"XP_022337695.1","NC_035784.1","Gnomon","CDS","3106178","3107231",".","+","0","cds26703","rna29118","ankyrin-3-like isoform X1","F:GO:0003674","","","GO:0005515"
"LOC111135944",7,"XP_022342142.1","NC_035784.1","Gnomon","CDS","3161547","3161612",".","-","0","cds26708","rna29123","partitioning defective 6 homolog beta-like","F:GO:0003674","","","GO:0005515"
"LOC111133985",62,"XP_022338437.1","NC_035784.1","Gnomon","CDS","3416456","3416491",".","+","0","cds26732","rna29149","LOW QUALITY PROTEIN: zinc finger CCCH domain-containing protein 18-like","F:GO:0043167","","","GO:0046872"
"LOC111137248",NA,"XP_022344338.1","NC_035784.1","Gnomon","CDS","3600374","3600457",".","+","0","cds26752","rna29169","RPA-interacting protein A-like isoform X1","","","",""
"LOC111132025",NA,"XP_022335362.1","NC_035784.1","Gnomon","CDS","3692230","3693402",".","+","0","cds26761","rna29178","uncharacterized protein LOC111132025","","","",""
"LOC111135159",NA,"XP_022340662.1","NC_035784.1","Gnomon","CDS","3842902","3842941",".","-","0","cds26769","rna29186","aldose 1-epimerase-like isoform X1","P:GO:0005975; F:GO:0016853; P:GO:0044281","","","GO:0016853;GO:0019318;GO:0030246"
"LOC111134839",22,"XP_022339991.1","NC_035784.1","Gnomon","CDS","3854839","3855031",".","-","0","cds26775","rna29192","uncharacterized protein LOC111134839 isoform X1","F:GO:0003674","","","GO:0005515"
"LOC111134840",4,"XP_022339993.1","NC_035784.1","Gnomon","CDS","3856860","3856958",".","+","0","cds26776","rna29193","CTD nuclear envelope phosphatase 1-like","F:GO:0016791","","","GO:0016791"
"LOC111135365",NA,"XP_022341068.1","NC_035784.1","Gnomon","CDS","4000789","4000795",".","+","0","cds26799","rna29217","LOW QUALITY PROTEIN: nuclear receptor subfamily 0 group B member 1-like","F:GO:0003677; C:GO:0005634; P:GO:0007165; P:GO:0009058; P:GO:0034641","","","GO:0003677;GO:0003707;GO:0005634;GO:0006355;GO:0007165"
"LOC111138074",NA,"XP_022345584.1","NC_035784.1","Gnomon","CDS","4460524","4460754",".","+","0","cds26855","rna29274","uncharacterized protein LOC111138074","C:GO:0005575","","","GO:0016020"
"LOC111135051",NA,"XP_022340453.1","NC_035784.1","Gnomon","CDS","4498452","4501126",".","-","2","cds26860","rna29279","uncharacterized protein LOC111135051 isoform X1","","","",""
"LOC111133165",NA,"XP_022336996.1","NC_035784.1","Gnomon","CDS","5909980","5910433",".","+","0","cds27029","rna29459","uncharacterized protein LOC111133165","F:GO:0016491","","","GO:0016491;GO:0055114"
"LOC111132805",NA,"XP_022336351.1","NC_035784.1","Gnomon","CDS","6618313","6618337",".","+","0","cds27088","rna29519","intracellular protein transport protein USO1-like","","","",""
"LOC111133329",6,"XP_022337337.1","NC_035784.1","Gnomon","CDS","6854730","6855183",".","+","0","cds27108","rna29552","uncharacterized protein LOC111133329","F:GO:0016491","","","GO:0016491;GO:0055114"
"LOC111134909",NA,"XP_022340167.1","NC_035784.1","Gnomon","CDS","7246292","7246388",".","-","0","cds27148","rna29592","uncharacterized protein LOC111134909 isoform X1","C:GO:0005575","","","GO:0016020"
"LOC111136846",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOC111137896",NA,"XP_022345303.1","NC_035784.1","Gnomon","CDS","7399591","7399752",".","+","0","cds27166","rna29613","uncharacterized protein LOC111137896","","","",""
"LOC111134024",59,"XP_022338497.1","NC_035784.1","Gnomon","CDS","7416672","7416743",".","+","0","cds27168","rna29615","LOW QUALITY PROTEIN: metastasis suppressor protein 1-like","P:GO:0007009; F:GO:0008092","","","GO:0003779;GO:0007009"
"LOC111136771",NA,"XP_022343578.1","NC_035784.1","Gnomon","CDS","7509013","7509069",".","-","0","cds27174","rna29621","uncharacterized protein LOC111136771","","","",""
"LOC111136732",19,"XP_022343527.1","NC_035784.1","Gnomon","CDS","7561245","7561391",".","+","2","cds27179","rna29626","uncharacterized protein LOC111136732","","","",""
"LOC111132034",12,"XP_022335375.1","NC_035784.1","Gnomon","CDS","7878675","7878748",".","-","0","cds27217","rna29667","uncharacterized protein LOC111132034","","","",""
"LOC111136731",27,"XP_022343524.1","NC_035784.1","Gnomon","CDS","7915230","7915369",".","-","0","cds27221","rna29671","cation-dependent mannose-6-phosphate receptor-like","F:GO:0003674; C:GO:0005768; C:GO:0005794; P:GO:0006605; P:GO:0007034","","","GO:0005768;GO:0005794;GO:0006622;GO:0019904"
"LOC111135892",85,"XP_022342051.1","NC_035784.1","Gnomon","CDS","8057646","8057734",".","-","0","cds27233","rna29683","LOW QUALITY PROTEIN: multiple epidermal growth factor-like domains protein 6","F:GO:0043167","","","GO:0005509;GO:0005515"
"LOC111137020",9,"XP_022343950.1","NC_035784.1","Gnomon","CDS","8172137","8172191",".","-","0","cds27254","rna29704","uncharacterized protein LOC111137020","F:GO:0016791","","","GO:0016791"
"LOC111135219",NA,"XP_022340790.1","NC_035784.1","Gnomon","CDS","8518571","8519371",".","-","2","cds27298","rna29752","LOW QUALITY PROTEIN: monocarboxylate transporter 12-like","C:GO:0005575; P:GO:0055085","","","GO:0016021;GO:0055085"
"LOC111138304",29,"XP_022345891.1","NC_035784.1","Gnomon","CDS","8560216","8560516",".","+","0","cds27301","rna29755","LOW QUALITY PROTEIN: leucine-rich repeat-containing G-protein coupled receptor 4-like","F:GO:0003674","","","GO:0005515"
"LOC111138197",8,"XP_022345760.1","NC_035784.1","Gnomon","CDS","8629325","8629505",".","-","0","cds27306","rna29760","charged multivesicular body protein 4b-like","P:GO:0007034","","","GO:0007034"
"LOC111132158",240,"XP_022335613.1","NC_035784.1","Gnomon","CDS","8670218","8670257",".","-","0","cds27310","rna29764","ras-responsive element-binding protein 1-like isoform X1","F:GO:0003674","","","GO:0003676"
"LOC111133284",NA,"XP_022337239.1","NC_035784.1","Gnomon","CDS","8707355","8707501",".","+","0","cds27313","rna29768","uncharacterized protein LOC111133284","","","",""
"LOC111134748",104,"XP_022339794.1","NC_035784.1","Gnomon","CDS","8741574","8741688",".","-","0","cds27315","rna29770","LOW QUALITY PROTEIN: exocyst complex component 2-like","C:GO:0005737; P:GO:0016192; C:GO:0032991","","","GO:0000145;GO:0006893"
"LOC111136139",41,"XP_022342481.1","NC_035784.1","Gnomon","CDS","8749395","8749401",".","+","1","cds27316","rna29771","LOW QUALITY PROTEIN: rhophilin-2-like","F:GO:0003674; P:GO:0007165","","","GO:0005515;GO:0007165"
"LOC111137775",49,"XP_022345128.1","NC_035784.1","Gnomon","CDS","8772598","8772684",".","-","0","cds27317","rna29772","LOW QUALITY PROTEIN: GMP reductase 2-like","GO:0016491;GO:0032991;GO:0034641;GO:0044281","EC:1.7.1.7","GMP reductase","GO:0003920;GO:0006144;GO:0009117;GO:0055114;GO:1902560"
"LOC111135619",77,"XP_022341555.1","NC_035784.1","Gnomon","CDS","8925548","8925568",".","-","0","cds27324","rna29779","LOW QUALITY PROTEIN: ubiquitin carboxyl-terminal hydrolase 10-like","GO:0006464;GO:0008233;GO:0009056","EC:3.4.19.12","Ubiquitinyl hydrolase 1","GO:0006511;GO:0016579;GO:0036459"
"LOC111137108",28,"XP_022344080.1","NC_035784.1","Gnomon","CDS","8968311","8968371",".","-","0","cds27326","rna29783","LOW QUALITY PROTEIN: uncharacterized protein LOC111137108","F:GO:0003677; F:GO:0003700; C:GO:0005634; P:GO:0009058; C:GO:0032991; P:GO:0034641; F:GO:0043167","","","GO:0003677;GO:0003700;GO:0005634;GO:0005667;GO:0006355;GO:0006355;GO:0046872"
"LOC111136146",22,"XP_022342491.1","NC_035784.1","Gnomon","CDS","8969037","8969207",".","+","0","cds27327","rna29784","ubiquitin-conjugating enzyme E2 Q1-like","","","",""
"LOC111137120",33,"XP_022344124.1","NC_035784.1","Gnomon","CDS","9080202","9080303",".","-","0","cds27344","rna29802","LOW QUALITY PROTEIN: ankyrin repeat domain-containing protein 13D-like","F:GO:0003674","","","GO:0005515"
"LOC111110658",30,"XP_022302962.1","NC_035780.1","Gnomon","CDS","28311128","28311331",".","+","0","cds2651","rna2942","branched-chain-amino-acid aminotransferase%2C cytosolic-like","GO:0003674;GO:0006520;GO:0009056;GO:0009058;GO:0034641;GO:0051186","EC:2.6.1.42","Branched-chain-amino-acid transaminase","GO:0004084;GO:0006550;GO:0006552;GO:0006574;GO:0009097;GO:0009098;GO:0009099;GO:0015940"
"LOC111124619",37,"XP_022323402.1","NC_035780.1","Gnomon","CDS","28398315","28398381",".","+","1","cds2655","rna2946","ubiquitin carboxyl-terminal hydrolase 44-like","GO:0006464;GO:0008233;GO:0009056;GO:0043167","EC:3.4.19.12","Ubiquitinyl hydrolase 1","GO:0006511;GO:0008270;GO:0016579;GO:0036459"
"LOC111132904",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOC111137545",NA,"XP_022344737.1","NC_035784.1","Gnomon","CDS","11044725","11045012",".","-","0","cds27568","rna30058","uncharacterized protein LOC111137545","","","",""
"LOC111127822",23,"XP_022328793.1","NC_035780.1","Gnomon","CDS","28547376","28547448",".","+","0","cds2673","rna2964","PIN2/TERF1-interacting telomerase inhibitor 1-like isoform X1","F:GO:0003674","","","GO:0003676"
"LOC111134713",72,"XP_022339730.1","NC_035784.1","Gnomon","CDS","12532177","12532247",".","-","0","cds27743","rna30260","LOW QUALITY PROTEIN: phosphoenolpyruvate carboxykinase%2C cytosolic [GTP]-like","GO:0005975;GO:0006091;GO:0009058;GO:0016829;GO:0043167;GO:0044281","EC:4.1.1.32","Phosphoenolpyruvate carboxykinase (GTP)","GO:0004613;GO:0005525;GO:0006094;GO:0006099"
"LOC111112008",30,"XP_022304980.1","NC_035780.1","Gnomon","CDS","28593040","28593721",".","+","0","cds2681","rna2972","schlafen-like protein 1","F:GO:0043167","","","GO:0003676;GO:0005524"
"LOC111134612",94,"XP_022339497.1","NC_035784.1","Gnomon","CDS","12825489","12825595",".","-","0","cds27764","rna30282","LOW QUALITY PROTEIN: CD109 antigen-like","C:GO:0005615; F:GO:0030234","","","GO:0004866;GO:0005615"
"LOC111137794",NA,"XP_022345153.1","NC_035784.1","Gnomon","CDS","12897588","12897641",".","-","0","cds27769","rna30289","LOW QUALITY PROTEIN: centrosomal protein of 89 kDa-like","C:GO:0005737; C:GO:0005815; P:GO:0007005; P:GO:0007267; P:GO:0022607","","","GO:0005814;GO:0007005;GO:0007268;GO:0060271"
"LOC111135319",22,"XP_022340977.1","NC_035784.1","Gnomon","CDS","12977307","12977352",".","+","0","cds27785","rna30305","probable ubiquitin-conjugating enzyme E2 7","","","",""
"LOC111134432",NA,"XP_022339142.1","NC_035784.1","Gnomon","CDS","13088639","13088646",".","+","0","cds27803","rna30324","uncharacterized protein LOC111134432","","","",""
"LOC111133149",20,"XP_022336973.1","NC_035784.1","Gnomon","CDS","13427522","13427690",".","+","0","cds27834","rna30364","uncharacterized protein LOC111133149","","","",""
"LOC111133153",NA,"XP_022336980.1","NC_035784.1","Gnomon","CDS","13575041","13576192",".","+","0","cds27862","rna30392","trace amine-associated receptor 13c-like","F:GO:0003674; C:GO:0005575; P:GO:0007165","","","GO:0004930;GO:0007186;GO:0016021"
"LOC111099175",1,"XP_022286292.1","NC_035784.1","Gnomon","CDS","13607548","13607736",".","-","0","cds27864","rna30394","acyl-CoA synthetase family member 3%2C mitochondrial-like","F:GO:0003674","","","GO:0003824"
"LOC111115959",15,"XP_022310598.1","NC_035780.1","Gnomon","CDS","28883089","28883314",".","-","0","cds2724","rna3015","transmembrane protein 233-like","C:GO:0005575","","","GO:0016021"
"LOC111137932",NA,"XP_022345344.1","NC_035784.1","Gnomon","CDS","14681803","14681943",".","+","0","cds27937","rna30476","uncharacterized protein LOC111137932","","","",""
"LOC111138458",2,"XP_022346141.1","NC_035784.1","Gnomon","CDS","14755175","14755259",".","+","0","cds27939","rna30478","hepatic leukemia factor-like","F:GO:0003700; C:GO:0005622; P:GO:0009058; C:GO:0032991; P:GO:0034641","","","GO:0003700;GO:0005667;GO:0006355;GO:0006357"
"LOC111136153",NA,"XP_022342506.1","NC_035784.1","Gnomon","CDS","14827640","14828665",".","-","0","cds27947","rna30487","beta-1%2C3-galactosyltransferase 1-like","C:GO:0005575; P:GO:0006464; P:GO:0009058; F:GO:0016757","","","GO:0006486;GO:0008378;GO:0016020"
"LOC111134358",NA,"XP_022339016.1","NC_035784.1","Gnomon","CDS","15738622","15738657",".","-","0","cds28013","rna30568","putative leucine-rich repeat-containing protein DDB_G0290503 isoform X1","","","",""
"LOC111134380",NA,"XP_022339050.1","NC_035784.1","Gnomon","CDS","15767364","15767492",".","-","0","cds28020","rna30575","Bardet-Biedl syndrome 4 protein homolog","","","",""
"LOC111134375",53,"XP_022339045.1","NC_035784.1","Gnomon","CDS","16147578","16147614",".","-","1","cds28044","rna30602","polyadenylate-binding protein 2-B-like","F:GO:0003723; P:GO:0008150","","","GO:0003723;GO:1904247"
"LOC111133404",52,"XP_022337517.1","NC_035784.1","Gnomon","CDS","16171943","16172061",".","-","2","cds28047","rna30605","RNA polymerase II subunit A C-terminal domain phosphatase SSU72-like","GO:0005634;GO:0006397;GO:0006464;GO:0016791","EC:3.1.3.16","Protein-serine/threonine phosphatase","GO:0004721;GO:0005634;GO:0006397;GO:0006470"
"LOC111136514",5,"XP_022343122.1","NC_035784.1","Gnomon","CDS","16345366","16345371",".","-","0","cds28060","rna30618","mitogen-activated protein kinase 7-like isoform X1","GO:0006464;GO:0006520;GO:0007165;GO:0016301;GO:0043167","EC:2.7.11; EC:2.7.11.24","Transferring phosphorus-containing groups; Mitogen-activated protein kinase","GO:0004707;GO:0005524;GO:0006468;GO:0007178;GO:0009069"
"LOC111136092",26,"XP_022342402.1","NC_035784.1","Gnomon","CDS","17584235","17584372",".","-","2","cds28189","rna30755","LOW QUALITY PROTEIN: low-density lipoprotein receptor-related protein 12-like","F:GO:0003674","","","GO:0005515"
"LOC111136241",NA,"XP_022342657.1","NC_035784.1","Gnomon","CDS","17778565","17779479",".","-","0","cds28197","rna30764","FIT family protein CG10671-like","C:GO:0005737; C:GO:0005783; P:GO:0008150","","","GO:0005789;GO:0019915"
"LOC111133359",81,"XP_022337400.1","NC_035784.1","Gnomon","CDS","17824289","17824386",".","-","0","cds28203","rna30770","protein NipSnap-like isoform X1","","","",""
"LOC111136233",3,"XP_022342646.1","NC_035784.1","Gnomon","CDS","17937696","17937782",".","-","0","cds28219","rna30788","uncharacterized protein LOC111136233","","","",""
"LOC111137105",56,"XP_022344076.1","NC_035784.1","Gnomon","CDS","18067671","18067827",".","-","0","cds28240","rna30810","LOW QUALITY PROTEIN: casein kinase I-like","P:GO:0006464; F:GO:0016301; F:GO:0043167","","","GO:0004672;GO:0005524;GO:0006468"
"LOC111132067",43,"XP_022335424.1","NC_035784.1","Gnomon","CDS","18940939","18941108",".","+","0","cds28360","rna30939","LOW QUALITY PROTEIN: cytospin-A-like","F:GO:0003674","","","GO:0005515"
"LOC111132235",6,"XP_022335733.1","NC_035784.1","Gnomon","CDS","19437583","19437600",".","+","0","cds28450","rna31035","DNA replication ATP-dependent helicase/nuclease DNA2-like","GO:0004518;GO:0006259;GO:0009058;GO:0016887;GO:0034655","EC:3.1.30; EC:3.6.1.3; EC:3.1.21; EC:3.6.1.15","Acting on ester bonds; Adenosinetriphosphatase; Acting on ester bonds; Nucleoside-triphosphate phosphatase","GO:0006308;GO:0017108;GO:0033567;GO:0043142"
"LOC111137968",15,"XP_022345407.1","NC_035784.1","Gnomon","CDS","19615806","19616080",".","-","0","cds28472","rna31057","DNA fragmentation factor subunit beta-like","F:GO:0004518; C:GO:0005634; C:GO:0005737; P:GO:0006259; P:GO:0008219; P:GO:0034655","","","GO:0004536;GO:0005634;GO:0005737;GO:0006309"
"LOC111138187",NA,"XP_022345752.1","NC_035780.1","Gnomon","CDS","29661812","29661859",".","-","0","cds2784","rna3076","ATP synthase lipid-binding protein%2C mitochondrial-like","C:GO:0005622; P:GO:0009058; F:GO:0022857; C:GO:0032991; P:GO:0034641; P:GO:0044281","","","GO:0015078;GO:0015986;GO:0015991;GO:0045263;GO:1902600"
"LOC111137773",NA,"XP_022345125.1","NC_035784.1","Gnomon","CDS","21118037","21118149",".","-","0","cds28573","rna31172","uncharacterized protein LOC111137773 isoform X1","","","",""
"LOC111135000",4,"XP_022340363.1","NC_035784.1","Gnomon","CDS","21168122","21168280",".","+","0","cds28580","rna31179","cleft lip and palate transmembrane protein 1-like protein","C:GO:0005575","","","GO:0016021"
"LOC111133656",NA,"XP_022337895.1","NC_035784.1","Gnomon","CDS","21278561","21279308",".","-","0","cds28593","rna31193","uncharacterized protein LOC111133656 isoform X1","","","",""
"LOC111132099",36,"XP_022335478.1","NC_035784.1","Gnomon","CDS","21412494","21412673",".","-","2","cds28602","rna31204","uncharacterized protein LOC111132099","","","",""
"LOC111136723",18,"XP_022343511.1","NC_035784.1","Gnomon","CDS","21423884","21423916",".","+","0","cds28608","rna31210","probable arginine--tRNA ligase%2C mitochondrial","GO:0006399;GO:0006412;GO:0006520;GO:0016874;GO:0043167","EC:6.1.1.19","Arginine--tRNA ligase","GO:0004814;GO:0005524;GO:0006420;GO:0006525;GO:0006560"
"LOC111136415",NA,"XP_022342958.1","NC_035784.1","Gnomon","CDS","22046059","22046480",".","-","0","cds28691","rna31295","E3 ubiquitin-protein ligase RING2-A-like","C:GO:0005634; C:GO:0032991","","","GO:0035102"
"LOC111137390",3,"XP_022344541.1","NC_035784.1","Gnomon","CDS","23211650","23211696",".","-","2","cds28788","rna31399","uncharacterized protein LOC111137390","","","",""
