"turquoise.gene_id","turquoise.cpg_count","turquoise.protein_id","turquoise.chr","turquoise.method","turquoise.feature","turquoise.start","turquoise.end","turquoise.score","turquoise.strand","turquoise.phase","turquoise.CDS_ID","turquoise.Parent","turquoise.Description","turquoise.GO.SLIM","turquoise.Enzyme.Codes","turquoise.Enzyme.Names","turquoise.InterproScan.GO.ID"
"LOC111107607",NA,"XP_022298978.1","NC_035780.1","Gnomon","CDS","26755837","26755921",".","-","0","cds2471","rna2754","nucleoporin-like protein 2","F:GO:0043167","","","GO:0046872"
"LOC111130646",NA,"XP_022333522.1","NC_035783.1","Gnomon","CDS","54210010","54210108",".","+","0","cds25732","rna28064","60S ribosomal protein L36-like","F:GO:0003735; C:GO:0005840; P:GO:0006412; P:GO:0042254","","","GO:0003735;GO:0005840;GO:0006412;GO:0042254"
"LOC111130692",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOC111131800",5,"XP_022335215.1","NC_035783.1","Gnomon","CDS","54378250","54378321",".","-","0","cds25753","rna28086","helicase-like transcription factor","F:GO:0043167","","","GO:0003676;GO:0005524;GO:0008270;GO:0016818"
"LOC111131350",NA,"XP_022334540.1","NC_035783.1","Gnomon","CDS","54435051","54435158",".","+","0","cds25762","rna28095","fos-related antigen 2-like","F:GO:0003677; F:GO:0003700; C:GO:0005634; P:GO:0009058; C:GO:0032991; P:GO:0034641","","","GO:0003677;GO:0003700;GO:0005634;GO:0005667;GO:0006355;GO:0006357"
"LOC111129182",NA,"XP_022331121.1","NC_035783.1","Gnomon","CDS","54559121","54559199",".","-","1","cds25795","rna28130","coiled-coil domain-containing protein 97-like","","","",""
"LOC111130674",NA,"XP_022333567.1","NC_035783.1","Gnomon","CDS","54692198","54692273",".","+","0","cds25804","rna28139","thymidine kinase 2%2C mitochondrial-like","F:GO:0016301; P:GO:0034641; F:GO:0043167","","","GO:0005524;GO:0006139;GO:0019206"
"LOC111130614",3,"XP_022333488.1","NC_035783.1","Gnomon","CDS","54750956","54750958",".","-","0","cds25817","rna28152","cyclin-dependent kinases regulatory subunit 1-like","P:GO:0006464; P:GO:0007049; F:GO:0030234","","","GO:0016538;GO:0045859;GO:0051726"
"LOC111129976",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOC111131589",NA,"XP_022334901.1","NC_035783.1","Gnomon","CDS","55093244","55093549",".","+","2","cds25830","rna28169","uncharacterized protein LOC111131589 isoform X1","F:GO:0003674; P:GO:0007165","","","GO:0005515;GO:0035556"
"LOC111129516",12,"XP_022331668.1","NC_035783.1","Gnomon","CDS","55202784","55202801",".","-","0","cds25844","rna28183","multiple C2 and transmembrane domain-containing protein 1-like isoform X1","","","",""
"LOC111129174",108,"XP_022331097.1","NC_035783.1","Gnomon","CDS","55542592","55543077",".","+","0","cds25868","rna28210","solute carrier family 12 member 3-like isoform X1","C:GO:0005575; F:GO:0022857","","","GO:0006812;GO:0006821;GO:0015377;GO:0016021;GO:0055085"
"LOC111130703",NA,"XP_022333611.1","NC_035783.1","Gnomon","CDS","55699442","55699525",".","+","0","cds25880","rna28224","uncharacterized protein LOC111130703","","","",""
"LOC111129958",NA,"XP_022332225.1","NC_035783.1","Gnomon","CDS","55807332","55807379",".","-","0","cds25889","rna28233","ras-related protein Rab-1A","GO:0003924;GO:0043167","EC:3.6.1.15","Nucleoside-triphosphate phosphatase","GO:0003924;GO:0005525"
"LOC111131586",21,"XP_022334897.1","NC_035783.1","Gnomon","CDS","55960750","55961994",".","+","0","cds25910","rna28255","peroxisome assembly factor 2-like isoform X1","F:GO:0043167","","","GO:0005524"
"LOC111131788",NA,"XP_022335200.1","NC_035783.1","Gnomon","CDS","56000426","56000638",".","-","0","cds25914","rna28259","DNA mismatch repair protein Msh3-like","F:GO:0003677; P:GO:0006259; P:GO:0006950; F:GO:0043167","","","GO:0005524;GO:0006298;GO:0030983"
"LOC111131853",NA,"XP_022335298.1","NC_035783.1","Gnomon","CDS","56143447","56143531",".","+","0","cds25929","rna28274","uncharacterized protein LOC111131853 isoform X1","","","",""
"LOC111130119",NA,"XP_022332549.1","NC_035783.1","Gnomon","CDS","56250461","56250556",".","-","0","cds25942","rna28287","peroxisomal sarcosine oxidase-like","F:GO:0016491","","","GO:0016491;GO:0055114"
"LOC111131290",NA,"XP_022334447.1","NC_035783.1","Gnomon","CDS","56259373","56259577",".","-","0","cds25943","rna28288","LOW QUALITY PROTEIN: cholesterol 25-hydroxylase-like protein 1%2C member 2","P:GO:0006629; P:GO:0009058; F:GO:0016491; F:GO:0043167","","","GO:0005506;GO:0008610;GO:0016491;GO:0055114"
"LOC111130332",75,"XP_022332952.1","NC_035783.1","Gnomon","CDS","56546213","56546354",".","-","0","cds25964","rna28311","uncharacterized protein LOC111130332 isoform X1","","","",""
"LOC111129331",43,"XP_022331335.1","NC_035783.1","Gnomon","CDS","56564034","56564091",".","-","0","cds25969","rna28316","peroxisomal multifunctional enzyme type 2-like","F:GO:0016491","","","GO:0016491"
"LOC111129332",NA,"XP_022331337.1","NC_035783.1","Gnomon","CDS","56564264","56564395",".","+","0","cds25970","rna28317","myeloid-derived growth factor-like","","","",""
"LOC111129319",27,"XP_022331320.1","NC_035783.1","Gnomon","CDS","56650370","56650468",".","-","0","cds25983","rna28331","2-oxoisovalerate dehydrogenase subunit alpha%2C mitochondrial-like","GO:0006520;GO:0009056;GO:0016491;GO:0032991","EC:1.2.4.4","3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)","GO:0003826;GO:0003863;GO:0006550;GO:0006552;GO:0006574;GO:0017086"
"LOC111129784",NA,"XP_022331951.1","NC_035783.1","Gnomon","CDS","56797200","56797376",".","-","0","cds25997","rna28345","LOW QUALITY PROTEIN: uncharacterized protein LOC111129784","","","",""
"LOC111130383",23,"XP_022333116.1","NC_035783.1","Gnomon","CDS","56831651","56831771",".","-","0","cds26001","rna28349","LOW QUALITY PROTEIN: guanine nucleotide-binding protein subunit beta-5a-like","F:GO:0003674; P:GO:0007165","","","GO:0005515;GO:0007165"
"LOC111130656",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOC111128502",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOC111127757",15,"XP_022328704.1","NC_035783.1","Gnomon","CDS","56860118","56860226",".","+","0","cds26004","rna28352","LOW QUALITY PROTEIN: dolichol kinase-like","GO:0006629;GO:0009058;GO:0016301","EC:2.7.1.108","Dolichol kinase","GO:0004168;GO:0043048"
"LOC111128363",NA,"XP_022329655.1","NC_035783.1","Gnomon","CDS","56952873","56953524",".","+","0","cds26012","rna28362","LOW QUALITY PROTEIN: uncharacterized protein LOC111128363","F:GO:0003674; C:GO:0005575; P:GO:0007165","","","GO:0007187;GO:0008528;GO:0016021"
"LOC111129785",18,"XP_022331952.1","NC_035783.1","Gnomon","CDS","56987493","56987495",".","+","0","cds26013","rna28363","uncharacterized protein LOC111129785","","","",""
"LOC111128468",NA,"XP_022329787.1","NC_035783.1","Gnomon","CDS","57142047","57142067",".","+","0","cds26024","rna28376","uncharacterized protein LOC111128468","C:GO:0005575; P:GO:0007165; F:GO:0043167","","","GO:0005525;GO:0007165;GO:0016020"
"LOC111128184",31,"XP_022329377.1","NC_035783.1","Gnomon","CDS","57189411","57189505",".","+","1","cds26027","rna28380","LOW QUALITY PROTEIN: ubiquitin-conjugating enzyme E2 Q2-like","","","",""
"LOC111130181",37,"XP_022332654.1","NC_035783.1","Gnomon","CDS","57324679","57324869",".","-","0","cds26044","rna28401","mediator of RNA polymerase II transcription subunit 27-A-like","C:GO:0005654; C:GO:0032991","","","GO:0016592"
"LOC111129791",23,"XP_022331957.1","NC_035783.1","Gnomon","CDS","57328166","57328333",".","+","0","cds26045","rna28403","LOW QUALITY PROTEIN: flap endonuclease GEN homolog 1-like","F:GO:0003677; F:GO:0004518; P:GO:0006259; P:GO:0006950","","","GO:0003677;GO:0004518;GO:0006281"
"LOC111131785",NA,"XP_022335194.1","NC_035783.1","Gnomon","CDS","57400245","57400424",".","-","0","cds26050","rna28410","uncharacterized protein LOC111131785 isoform X1","","","",""
"LOC111129466",8,"XP_022331565.1","NC_035783.1","Gnomon","CDS","57402002","57402063",".","+","0","cds26054","rna28414","intraflagellar transport protein 43 homolog A-like isoform X1","C:GO:0032991","","","GO:0030991"
"LOC111130248",NA,"XP_022332750.1","NC_035783.1","Gnomon","CDS","57452248","57452281",".","-","0","cds26061","rna28421","uncharacterized protein LOC111130248 isoform X1","P:GO:0006464; F:GO:0043167","","","GO:0004842;GO:0016567;GO:0046872"
"LOC111130778",NA,"XP_022333721.1","NC_035783.1","Gnomon","CDS","57583280","57584047",".","-","0","cds26074","rna28437","glycine%2C alanine and asparagine-rich protein-like","","","",""
"LOC111130779",NA,"XP_022333722.1","NC_035783.1","Gnomon","CDS","57593695","57594462",".","-","0","cds26075","rna28438","glycine-rich cell wall structural protein 1.0-like","","","",""
"LOC111129796",46,"XP_022331961.1","NC_035783.1","Gnomon","CDS","58028141","58028297",".","+","1","cds26128","rna28495","LOW QUALITY PROTEIN: GPI ethanolamine phosphate transferase 3-like","F:GO:0003674; P:GO:0006464; P:GO:0006629; P:GO:0009058","","","GO:0006506;GO:0051377"
"LOC111130912",9,"XP_022333891.1","NC_035783.1","Gnomon","CDS","58035058","58035095",".","+","0","cds26129","rna28496","caspase-3-like","GO:0008233","EC:3.4.22","Acting on peptide bonds (peptidases)","GO:0004197;GO:0006508"
"LOC111130008",NA,"XP_022332306.1","NC_035783.1","Gnomon","CDS","58373395","58373445",".","-","0","cds26196","rna28563","calcium-binding protein LPS1-alpha-like","F:GO:0043167","","","GO:0005509"
"LOC111129314",10,"XP_022331315.1","NC_035783.1","Gnomon","CDS","58504646","58504790",".","-","1","cds26216","rna28583","uncharacterized protein LOC111129314","F:GO:0043167","","","GO:0008270"
"LOC111128260",7,"XP_022329502.1","NC_035783.1","Gnomon","CDS","58517612","58517789",".","+","0","cds26218","rna28585","solute carrier family 25 member 44-like","F:GO:0022857","","","GO:0022857"
"LOC111130081",NA,"XP_022332479.1","NC_035783.1","Gnomon","CDS","58559532","58559558",".","+","0","cds26224","rna28591","GRAM domain-containing protein 2B-like","","","",""
"LOC111131112",NA,"XP_022334193.1","NC_035783.1","Gnomon","CDS","58579748","58579831",".","-","0","cds26229","rna28596","sperm-associated antigen 8-like","C:GO:0005856; F:GO:0008092; C:GO:0032991","","","GO:0008017;GO:0045298"
"LOC111128631",NA,"XP_022330077.1","NC_035783.1","Gnomon","CDS","58785651","58785740",".","-","2","cds26244","rna28612","Krueppel-like factor 9","F:GO:0003674","","","GO:0003676"
"LOC111128622",14,"XP_022330063.1","NC_035783.1","Gnomon","CDS","58984811","58985247",".","-","0","cds26259","rna28627","endonuclease 8-like 1","F:GO:0003677; P:GO:0006259; P:GO:0006950; F:GO:0016798; F:GO:0043167","","","GO:0003684;GO:0003906;GO:0006284;GO:0008270;GO:0016799"
"LOC111128613",NA,"XP_022330052.1","NC_035783.1","Gnomon","CDS","59057692","59057764",".","+","0","cds26266","rna28634","cartilage oligomeric matrix protein-like","C:GO:0005576; P:GO:0007155; F:GO:0043167","","","GO:0005509;GO:0005576;GO:0007155"
"LOC111128843",7,"XP_022330445.1","NC_035783.1","Gnomon","CDS","59182324","59182425",".","+","0","cds26279","rna28648","uncharacterized protein LOC111128843","F:GO:0008289","","","GO:0008289"
"LOC111128033",NA,"XP_022329123.1","NC_035783.1","Gnomon","CDS","59327876","59328772",".","+","0","cds26293","rna28663","elastin-like isoform X1","","","",""
"LOC111130227",NA,"XP_022332720.1","NC_035783.1","Gnomon","CDS","59417188","59417339",".","+","0","cds26305","rna28676","ras-related protein Rab-1A","GO:0003924;GO:0043167","EC:3.6.1.15","Nucleoside-triphosphate phosphatase","GO:0003924;GO:0005525"
"LOC111130849",NA,"XP_022333809.1","NC_035783.1","Gnomon","CDS","59525142","59525225",".","-","0","cds26314","rna28685","uncharacterized protein LOC111130849","","","",""
"LOC111131190",11,"XP_022334314.1","NC_035783.1","Gnomon","CDS","59655493","59655516",".","-","0","cds26321","rna28695","polycystic kidney disease protein 1-like 2 isoform X1","C:GO:0005575; F:GO:0043167","","","GO:0005509;GO:0005515;GO:0016020"
"LOC111136066",6,"XP_022342362.1","NC_035784.1","Gnomon","CDS","19136","19348",".","+","0","cds26324","rna28699","peroxisomal acyl-coenzyme A oxidase 3-like","GO:0005777;GO:0006629;GO:0006790;GO:0009056;GO:0016491;GO:0034641;GO:0043167;GO:0044281;GO:0051186","EC:1.3.3.6","Acyl-CoA oxidase","GO:0003997;GO:0005777;GO:0006635;GO:0006637;GO:0071949"
"LOC111132163",1,"XP_022335625.1","NC_035784.1","Gnomon","CDS","299254","299399",".","+","2","cds26352","rna28733","splicing factor 3B subunit 4-like","F:GO:0003674","","","GO:0003676"
"LOC111133246",51,"XP_022337155.1","NC_035784.1","Gnomon","CDS","399528","399530",".","-","0","cds26373","rna28754","coatomer subunit beta'-like isoform X1","F:GO:0005198; C:GO:0005737; P:GO:0016192; C:GO:0032991","","","GO:0005198;GO:0005515;GO:0006886;GO:0016192;GO:0030117"
"LOC111133248",2,"XP_022337158.1","NC_035784.1","Gnomon","CDS","406234","406517",".","+","0","cds26376","rna28757","uncharacterized protein LOC111133248","","","",""
"LOC111136460",NA,"XP_022343034.1","NC_035780.1","Gnomon","CDS","3135394","3135407",".","+","0","cds258","rna270","beta-1%2C3-galactosyltransferase brn-like","C:GO:0005575; P:GO:0006464; P:GO:0009058; F:GO:0016757","","","GO:0006486;GO:0008378;GO:0016020"
"LOC111135248",19,"XP_022340848.1","NC_035784.1","Gnomon","CDS","443432","443454",".","-","0","cds26378","rna28759","uncharacterized protein LOC111135248 isoform X1","GO:0006464;GO:0006520;GO:0016791","EC:3.1.3.16; EC:3.1.3.48","Protein-serine/threonine phosphatase; Protein-tyrosine-phosphatase","GO:0004725;GO:0005515;GO:0006470;GO:0006570"
"LOC111135250",NA,"XP_022340850.1","NC_035784.1","Gnomon","CDS","461024","461084",".","-","0","cds26381","rna28762","uncharacterized protein LOC111135250","","","",""
"LOC111133725",32,"XP_022338052.1","NC_035784.1","Gnomon","CDS","552683","552751",".","+","1","cds26392","rna28776","xaa-Pro dipeptidase-like","GO:0008233;GO:0043167","EC:3.4.11","Acting on peptide bonds (peptidases)","GO:0004177;GO:0030145"
"LOC111134623",NA,"XP_022339523.1","NC_035784.1","Gnomon","CDS","608572","608702",".","-","2","cds26399","rna28783","uncharacterized protein LOC111134623 isoform X1","P:GO:0006464; F:GO:0016301; F:GO:0043167","","","GO:0004672;GO:0005524;GO:0006468"
"LOC111099928",7,"XP_022287157.1","NC_035780.1","Gnomon","CDS","27419660","27419828",".","-","0","cds2552","rna2838","uncharacterized protein LOC111099928","","","",""
"LOC111137178",NA,"XP_022344210.1","NC_035784.1","Gnomon","CDS","944164","944261",".","+","0","cds26422","rna28814","failed axon connections homolog","","","",""
"LOC111137190",6,"XP_022344240.1","NC_035784.1","Gnomon","CDS","1084901","1085106",".","-","0","cds26452","rna28845","dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1%2C3-mannosyltransferase-like isoform X1","C:GO:0005783; C:GO:0005794; F:GO:0016757; C:GO:0032991","","","GO:0000030;GO:0000136;GO:0030176"
"LOC111136439",13,"XP_022342996.1","NC_035784.1","Gnomon","CDS","1106901","1107912",".","-","1","cds26456","rna28849","uncharacterized protein LOC111136439 isoform X1","","","",""
"LOC111132856",NA,"XP_022336452.1","NC_035784.1","Gnomon","CDS","1326551","1326614",".","-","0","cds26491","rna28888","uncharacterized protein LOC111132856 isoform X1","","","",""
"LOC111136243",NA,"XP_022342659.1","NC_035784.1","Gnomon","CDS","1466647","1466680",".","+","0","cds26496","rna28893","splicing factor 3B subunit 4-like","F:GO:0003674","","","GO:0003676"
"LOC111134103",10,"XP_022338617.1","NC_035784.1","Gnomon","CDS","1559184","1559186",".","-","0","cds26514","rna28911","coatomer subunit beta'-like","F:GO:0005198; C:GO:0005737; P:GO:0016192; C:GO:0032991","","","GO:0005198;GO:0005515;GO:0006886;GO:0016192;GO:0030117"
"LOC111135287",NA,"XP_022340927.1","NC_035784.1","Gnomon","CDS","1705967","1705986",".","+","0","cds26529","rna28927","xaa-Pro dipeptidase-like","GO:0008233;GO:0043167","EC:3.4.11","Acting on peptide bonds (peptidases)","GO:0004177;GO:0030145"
"LOC111136013",5,"XP_022342272.1","NC_035784.1","Gnomon","CDS","1802015","1802050",".","+","0","cds26540","rna28938","LOW QUALITY PROTEIN: caltractin-like","F:GO:0043167","","","GO:0005509"
"LOC111137678",76,"XP_022344967.1","NC_035784.1","Gnomon","CDS","1816491","1816597",".","+","0","cds26542","rna28940","LOW QUALITY PROTEIN: transmembrane and coiled-coil domain-containing protein 4-like","","","",""
"LOC111124173",NA,"XP_022322747.1","NC_035780.1","Gnomon","CDS","27512979","27513339",".","+","0","cds2562","rna2848","cytochrome P450 2C42-like","F:GO:0016491; F:GO:0043167","","","GO:0005506;GO:0016705;GO:0020037;GO:0055114"
"LOC111137681",NA,"XP_022344971.1","NC_035784.1","Gnomon","CDS","1844163","1844312",".","+","0","cds26546","rna28944","cytochrome P450 4A25-like","F:GO:0016491; F:GO:0043167","","","GO:0005506;GO:0016705;GO:0020037;GO:0055114"
"LOC111137677",160,"XP_022344962.1","NC_035784.1","Gnomon","CDS","1930193","1930403",".","-","2","cds26559","rna28957","kinase suppressor of Ras 2-like isoform X1","P:GO:0006464; P:GO:0007165; F:GO:0016301; F:GO:0043167","","","GO:0004672;GO:0005524;GO:0006468;GO:0035556"
"LOC111136035",26,"XP_022342319.1","NC_035784.1","Gnomon","CDS","2023462","2023533",".","-","2","cds26574","rna28972","inhibitor of growth protein 5-like","C:GO:0005654; P:GO:0006464; P:GO:0008283; C:GO:0032991; P:GO:0051276","","","GO:0008285;GO:0016573;GO:0070776"
"LOC111136544",11,"XP_022343171.1","NC_035784.1","Gnomon","CDS","2044803","2044870",".","+","0","cds26577","rna28975","ran guanine nucleotide release factor-like","","","",""
"LOC111133361",NA,"XP_022337402.1","NC_035784.1","Gnomon","CDS","2082456","2082699",".","+","0","cds26582","rna28980","proline-rich proteoglycan 2-like isoform X1","","","",""
"LOC111138408",NA,"XP_022346066.1","NC_035784.1","Gnomon","CDS","2092958","2093222",".","+","0","cds26583","rna28981","uncharacterized protein LOC111138408","","","",""
"LOC111136968",36,"XP_022343880.1","NC_035780.1","Gnomon","CDS","27572203","27572209",".","-","0","cds2567","rna2853","histone acetyltransferase type B catalytic subunit-like","GO:0005654;GO:0006464;GO:0009058;GO:0016746;GO:0032991;GO:0034641;GO:0042393;GO:0051276","EC:2.3.1.5; EC:2.3.1.48","Arylamine N-acetyltransferase; Histone acetyltransferase","GO:0000123;GO:0004402;GO:0006348;GO:0016573;GO:0042393;GO:0042967"
"LOC111099063",22,"XP_022286119.1","NC_035784.1","Gnomon","CDS","2261231","2261320",".","-","0","cds26608","rna29010","peptidyl-prolyl cis-trans isomerase-like 2","GO:0006457;GO:0006464;GO:0016853","EC:5.2.1.8","Peptidylprolyl isomerase","GO:0000413;GO:0003755;GO:0004842;GO:0006457;GO:0016567"
"LOC111137529",34,"XP_022344710.1","NC_035784.1","Gnomon","CDS","2288892","2288945",".","-","0","cds26611","rna29013","uncharacterized protein LOC111137529","","","",""
"LOC111136081",4,"XP_022342384.1","NC_035784.1","Gnomon","CDS","2626076","2626160",".","-","2","cds26650","rna29055","A-kinase anchor protein 10%2C mitochondrial-like","","","",""
"LOC111137505",NA,"XP_022344681.1","NC_035784.1","Gnomon","CDS","2814093","2814878",".","+","0","cds26672","rna29077","protein giant-like","F:GO:0003700; C:GO:0005622; P:GO:0009058; C:GO:0032991; P:GO:0034641","","","GO:0003700;GO:0005667;GO:0006355;GO:0006355"
"LOC111113833",7,"XP_022307867.1","NC_035780.1","Gnomon","CDS","27616880","27616912",".","-","0","cds2575","rna2861","protein YIPF3-like isoform X1","","","",""
"LOC111133182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOC111132178",158,"XP_022335649.1","NC_035784.1","Gnomon","CDS","3066714","3066834",".","+","2","cds26694","rna29105","1-phosphatidylinositol 4%2C5-bisphosphate phosphodiesterase gamma-1-like isoform X1","GO:0003674;GO:0006629;GO:0007165;GO:0009056","EC:3.1.4.11; EC:3.1.4.3","Phosphoinositide phospholipase C; Phospholipase C","GO:0004435;GO:0005515;GO:0009395;GO:0035556;GO:0035556;GO:0046339"
"LOC111119489",NA,"XP_022315403.1","NC_035780.1","Gnomon","CDS","3158256","3158275",".","+","0","cds262","rna274","LOW QUALITY PROTEIN: beta-1%2C3-galactosyltransferase 5-like","C:GO:0005575; P:GO:0006464; P:GO:0009058; F:GO:0016757","","","GO:0006486;GO:0008378;GO:0016020"
"LOC111136303",86,"XP_022342767.1","NC_035784.1","Gnomon","CDS","3337159","3337309",".","-","2","cds26726","rna29143","uncharacterized protein LOC111136303","F:GO:0008233","","","GO:0005515;GO:0006508;GO:0008234"
"LOC111138249",NA,"XP_022345832.1","NC_035780.1","Gnomon","CDS","27666509","27666538",".","-","0","cds2581","rna2867","tetratricopeptide repeat protein 38-like","F:GO:0003674","","","GO:0005515"
"LOC111133986",8,"XP_022338439.1","NC_035784.1","Gnomon","CDS","3401090","3401094",".","-","0","cds26729","rna29146","LOW QUALITY PROTEIN: lysine-specific demethylase 8-like","","","",""
"LOC111137247",30,"XP_022344336.1","NC_035784.1","Gnomon","CDS","3599817","3599842",".","-","0","cds26751","rna29168","inositol polyphosphate 5-phosphatase K-like isoform X1","P:GO:0006629","","","GO:0046856"
"LOC111132406",NA,"XP_022335916.1","NC_035784.1","Gnomon","CDS","3897459","3897711",".","-","0","cds26779","rna29196","N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase-like","GO:0006464;GO:0006629;GO:0009058;GO:0016810","EC:3.5.1.89","N-acetylglucosaminylphosphatidylinositol deacetylase","GO:0000225;GO:0006506"
"LOC111133059",49,"XP_022336832.1","NC_035784.1","Gnomon","CDS","3910957","3911067",".","-","1","cds26781","rna29198","nucleolar complex protein 4 homolog A-like","P:GO:0042254","","","GO:0042254"
"LOC111135209",NA,"XP_022340769.1","NC_035784.1","Gnomon","CDS","3958202","3959378",".","-","0","cds26790","rna29207","poly [ADP-ribose] polymerase 12-like isoform X1","GO:0016757;GO:0043167","EC:2.4.2.30","NAD(+) ADP-ribosyltransferase","GO:0003950;GO:0046872"
"LOC111138352",34,"XP_022345987.1","NC_035784.1","Gnomon","CDS","4111914","4111973",".","-","0","cds26802","rna29220","LOW QUALITY PROTEIN: ATP-dependent RNA helicase DDX19A-like","F:GO:0043167","","","GO:0003676;GO:0005524"
"LOC111136821",19,"XP_022343653.1","NC_035784.1","Gnomon","CDS","4143271","4143424",".","+","0","cds26807","rna29225","spermidine synthase-like","F:GO:0003674; P:GO:0034641","","","GO:0003824;GO:0006595"
"LOC111137122",7,"XP_022344126.1","NC_035784.1","Gnomon","CDS","4324084","4324168",".","-","0","cds26824","rna29243","cyclin-D1-binding protein 1 homolog","P:GO:0007049","","","GO:0051726"
"LOC111135705",NA,"XP_022341702.1","NC_035784.1","Gnomon","CDS","4346287","4346340",".","-","0","cds26832","rna29251","homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 2 protein isoform X1","F:GO:0003674","","","GO:0005515"
"LOC111135703",16,"XP_022341701.1","NC_035784.1","Gnomon","CDS","4348491","4348758",".","+","1","cds26833","rna29252","LOW QUALITY PROTEIN: uncharacterized protein LOC111135703","","","",""
"LOC111136254",NA,"XP_022342672.1","NC_035784.1","Gnomon","CDS","4414253","4414434",".","-","0","cds26845","rna29264","eukaryotic translation initiation factor 6-like","F:GO:0003674; P:GO:0022618; P:GO:0042254","","","GO:0042256;GO:0043022"
"LOC111115939",NA,"XP_022310575.1","NC_035780.1","Gnomon","CDS","27733739","27733796",".","+","0","cds2590","rna2876","neuronal acetylcholine receptor subunit alpha-9-like","C:GO:0005575; P:GO:0007165; F:GO:0022857","","","GO:0004888;GO:0005230;GO:0007165;GO:0016021;GO:0034220"
"LOC111135052",NA,"XP_022340459.1","NC_035784.1","Gnomon","CDS","4483976","4484353",".","+","0","cds26862","rna29281","neurocalcin homolog","F:GO:0043167","","","GO:0005509"
"LOC111137817",NA,"XP_022345185.1","NC_035784.1","Gnomon","CDS","4511966","4512046",".","-","0","cds26864","rna29283","syntaxin-16-like isoform X1","F:GO:0003674; C:GO:0005622; P:GO:0016192","","","GO:0005484;GO:0005622;GO:0006886;GO:0016020;GO:0016192"
"LOC111135057",NA,"XP_022340468.1","NC_035784.1","Gnomon","CDS","4644978","4645102",".","+","0","cds26890","rna29309","oxysterol-binding protein 1-like isoform X1","","","",""
"LOC111132149",4,"XP_022335596.1","NC_035784.1","Gnomon","CDS","4763371","4765722",".","+","0","cds26904","rna29324","anaphase-promoting complex subunit 5-like","F:GO:0003674; C:GO:0005634; C:GO:0032991","","","GO:0005515;GO:0005680"
"LOC111135247",29,"XP_022340841.1","NC_035784.1","Gnomon","CDS","4789612","4789821",".","+","0","cds26909","rna29329","protein spire homolog 1-like isoform X1","P:GO:0007010; F:GO:0008092; P:GO:0016192; P:GO:0065003","","","GO:0003779;GO:0016192;GO:0045010"
"LOC111133764",NA,"XP_022338111.1","NC_035784.1","Gnomon","CDS","4835497","4836114",".","-","0","cds26920","rna29340","aquaporin-5-like","C:GO:0005575; F:GO:0022857","","","GO:0015267;GO:0016020;GO:0055085"
"LOC111136053",NA,"XP_022342342.1","NC_035784.1","Gnomon","CDS","4860361","4862277",".","-","0","cds26930","rna29350","uncharacterized protein LOC111136053","","","",""
"LOC111132157",1,"XP_022335610.1","NC_035784.1","Gnomon","CDS","4893515","4893595",".","-","0","cds26932","rna29352","syntaxin-16-like isoform X1","F:GO:0003674; C:GO:0005622; P:GO:0016192","","","GO:0005484;GO:0005622;GO:0006886;GO:0016020;GO:0016192"
"LOC111137530",NA,"XP_022344711.1","NC_035784.1","Gnomon","CDS","4956496","4956868",".","-","0","cds26947","rna29367","lipoma HMGIC fusion partner-like 2 protein","","","",""
"LOC111135571",34,"XP_022341463.1","NC_035784.1","Gnomon","CDS","5014842","5014993",".","+","1","cds26951","rna29372","piwi-like protein 1 isoform X1","F:GO:0003674","","","GO:0003676;GO:0005515"
"LOC111137478",7,"XP_022344651.1","NC_035784.1","Gnomon","CDS","5245450","5245560",".","-","0","cds26968","rna29390","transmembrane protein 97-like","","","",""
"LOC111137098",NA,"XP_022344064.1","NC_035784.1","Gnomon","CDS","5252871","5252971",".","+","0","cds26969","rna29392","uncharacterized protein LOC111137098","","","",""
"LOC111135421",NA,"XP_022341181.1","NC_035784.1","Gnomon","CDS","5627023","5627028",".","+","0","cds26992","rna29417","actin-related protein 2/3 complex subunit 3-like","C:GO:0005856; P:GO:0007010; C:GO:0032991; P:GO:0065003","","","GO:0005885;GO:0034314"
"LOC111135584",1,"XP_022341489.1","NC_035784.1","Gnomon","CDS","5645817","5645836",".","+","0","cds26995","rna29420","serine/threonine-protein phosphatase 4 catalytic subunit","F:GO:0003674","","","GO:0016787"
"LOC111136620",NA,"XP_022343307.1","NC_035784.1","Gnomon","CDS","5684982","5685032",".","+","0","cds27001","rna29426","collagen alpha-1(XII) chain-like","","","",""
"LOC111101925",9,"XP_022290290.1","NC_035780.1","Gnomon","CDS","27838089","27838172",".","+","0","cds2608","rna2897","protein DJ-1-like","","","",""
